Species,CAS,YSI,YSI_err,SMILES
n-hexadecane,544-76-3,88.25786508335545,4.412893254167773,CCCCCCCCCCCCCCCC
n-pentadecane,629-62-9,84.11564161777372,4.205782080888686,CCCCCCCCCCCCCCC
n-tetradecane,629-59-4,78.43050339448412,3.921525169724206,CCCCCCCCCCCCCC
n-tridecane,629-50-5,72.5129667327497,3.6256483366374854,CCCCCCCCCCCCC
n-dodecane,112-40-3,67.05521295267555,3.3527606476337777,CCCCCCCCCCCC
n-undecane,1120-21-4,60.088910202134024,3.0044455101067014,CCCCCCCCCCC
n-decane,124-18-5,54.00615122302096,2.700307561151048,CCCCCCCCCC
